id,date,store_nbr,item_nbr,unit_sales,onpromotion,city,state,type,cluster,family,class,perishable,avg_unit_sales
18825,2013-01-02,24,121964,1.0,False,Guayaquil,Guayas,D,1,AUTOMOTIVE,6810,0,1.4734747050734602
21426,2013-01-02,27,121964,1.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.4734747050734602
21565,2013-01-02,27,270522,2.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6806,0,2.1689108318372234
21589,2013-01-02,27,312317,1.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.5113556026864616
21731,2013-01-02,27,461432,1.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.6276187894512644
22209,2013-01-02,27,1009512,2.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.5362741523878964
59895,2013-01-03,24,312317,1.0,False,Guayaquil,Guayas,D,1,AUTOMOTIVE,6810,0,1.5113556026864616
60049,2013-01-03,24,461432,3.0,False,Guayaquil,Guayas,D,1,AUTOMOTIVE,6810,0,1.6276187894512644
60725,2013-01-03,25,121964,1.0,False,Salinas,Santa Elena,D,1,AUTOMOTIVE,6810,0,1.4734747050734602
62214,2013-01-03,27,121964,2.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.4734747050734602
62508,2013-01-03,27,511394,1.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.3051470588235294
62904,2013-01-03,27,1009512,1.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.5362741523878964
63010,2013-01-03,27,1118683,1.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6806,0,2.1503824327658525
100013,2013-01-04,24,461432,1.0,False,Guayaquil,Guayas,D,1,AUTOMOTIVE,6810,0,1.6276187894512644
100561,2013-01-04,24,1009512,1.0,False,Guayaquil,Guayas,D,1,AUTOMOTIVE,6810,0,1.5362741523878964
100695,2013-01-04,24,1118683,2.0,False,Guayaquil,Guayas,D,1,AUTOMOTIVE,6806,0,2.1503824327658525
102251,2013-01-04,27,121964,2.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6810,0,1.4734747050734602
102371,2013-01-04,27,270522,1.0,False,Daule,Guayas,D,1,AUTOMOTIVE,6806,0,2.1689108318372234
